Year,Month,Day,Hour,Minute,Second,nSAT,Lon,Lat,Alt,Speed,hDOP
2021,11,28,12,42,49,11,18.834171,47.119335,100.6,34.53,90
2021,11,28,12,42,49,11,18.834141,47.119362,100.6,34.53,90
2021,11,28,12,42,49,11,18.834114,47.119385,100.6,34.53,90
2021,11,28,12,42,49,11,18.834084,47.119408,100.6,34.53,90
2021,11,28,12,42,49,11,18.834053,47.119431,100.6,34.53,90
2021,11,28,12,42,49,11,18.834023,47.119453,100.6,34.53,90
2021,11,28,12,42,50,11,18.833994,47.119476,100.6,34.53,90
2021,11,28,12,42,50,11,18.833963,47.119499,100.6,34.53,90
2021,11,28,12,42,50,11,18.833933,47.119522,100.6,34.53,90
2021,11,28,12,42,50,11,18.833904,47.119545,100.6,34.53,90
2021,11,28,12,42,50,11,18.833874,47.119572,100.6,34.53,90
2021,11,28,12,42,50,11,18.833843,47.119595,100.6,34.53,90
2021,11,28,12,42,50,11,18.833813,47.119617,100.6,34.53,90
2021,11,28,12,42,50,11,18.833782,47.119640,100.6,34.53,90
2021,11,28,12,42,50,11,18.833752,47.119663,100.6,34.53,90
2021,11,28,12,42,50,11,18.833721,47.119686,100.6,34.53,90
2021,11,28,12,42,51,11,18.833693,47.119709,100.6,34.53,90
2021,11,28,12,42,51,11,18.833662,47.119732,100.6,34.53,90
2021,11,28,12,42,51,11,18.833630,47.119755,100.6,34.53,90
2021,11,28,12,42,51,11,18.833599,47.119778,100.6,34.53,90
2021,11,28,12,42,51,11,18.833570,47.119801,100.6,34.53,90
2021,11,28,12,42,51,11,18.833540,47.119823,100.6,34.53,90
2021,11,28,12,42,51,11,18.833509,47.119846,100.6,34.53,90
2021,11,28,12,42,51,11,18.833479,47.119869,100.6,34.53,90
2021,11,28,12,42,51,11,18.833448,47.119892,100.6,34.53,90
2021,11,28,12,42,51,11,18.833416,47.119915,100.6,34.53,90
2021,11,28,12,42,52,11,18.833387,47.119938,100.5,34.53,90
2021,11,28,12,42,52,11,18.833357,47.119961,100.5,34.53,90
2021,11,28,12,42,52,11,18.833324,47.119984,100.5,34.53,90
2021,11,28,12,42,52,11,18.833296,47.120007,100.5,34.53,90
2021,11,28,12,42,52,11,18.833263,47.120029,100.5,34.53,90
2021,11,28,12,42,52,11,18.833233,47.120052,100.5,34.53,90
2021,11,28,12,42,52,11,18.833202,47.120075,100.5,34.53,90
2021,11,28,12,42,52,11,18.833170,47.120098,100.5,34.53,90
2021,11,28,12,42,52,11,18.833139,47.120121,100.5,34.53,90
2021,11,28,12,42,52,11,18.833109,47.120144,100.5,34.53,90
2021,11,28,12,42,53,11,18.833076,47.120167,100.5,34.53,90
2021,11,28,12,42,53,11,18.833046,47.120190,100.5,34.53,90
2021,11,28,12,42,53,11,18.833015,47.120213,100.5,34.53,90
2021,11,28,12,42,53,11,18.832983,47.120235,100.5,34.53,90
2021,11,28,12,42,53,11,18.832952,47.120258,100.5,34.53,90
2021,11,28,12,42,53,11,18.832920,47.120281,100.5,34.53,90
2021,11,28,12,42,53,11,18.832888,47.120304,100.4,34.53,90
2021,11,28,12,42,53,11,18.832857,47.120323,100.4,34.53,90
2021,11,28,12,42,53,11,18.832825,47.120350,100.4,34.53,90
2021,11,28,12,42,53,11,18.832794,47.120369,100.4,34.53,90
2021,11,28,12,42,54,11,18.832762,47.120392,100.4,34.53,90
2021,11,28,12,42,54,11,18.832729,47.120415,100.4,34.53,90
