Year,Month,Day,Hour,Minute,Second,nSAT,Lon,Lat,Alt,Speed,hDOP
2021,11,28,12,15,49,9,18.963814,47.386971,104.2,18.41,104
2021,11,28,12,15,49,9,18.963789,47.386971,104.3,18.41,104
2021,11,28,12,15,49,9,18.963764,47.386967,104.3,18.41,104
2021,11,28,12,15,50,9,18.963741,47.386967,104.4,18.41,104
2021,11,28,12,15,50,9,18.963717,47.386967,104.4,18.41,104
2021,11,28,12,15,50,9,18.963694,47.386963,104.5,18.41,104
2021,11,28,12,15,50,9,18.963669,47.386963,104.5,18.41,104
2021,11,28,12,15,50,9,18.963646,47.386959,104.6,18.41,104
2021,11,28,12,15,50,9,18.963621,47.386959,104.7,18.41,104
2021,11,28,12,15,50,9,18.963596,47.386955,104.7,18.41,104
2021,11,28,12,15,50,9,18.963573,47.386955,104.8,18.41,104
2021,11,28,12,15,50,9,18.963549,47.386955,104.8,18.41,104
2021,11,28,12,15,50,9,18.963526,47.386951,104.9,18.41,104
2021,11,28,12,15,51,9,18.963501,47.386951,104.9,18.41,104
2021,11,28,12,15,51,9,18.963476,47.386948,105.0,18.41,104
2021,11,28,12,15,51,9,18.963453,47.386948,105.0,18.41,104
2021,11,28,12,15,51,9,18.963430,47.386944,105.1,18.41,104
2021,11,28,12,15,51,9,18.963406,47.386944,105.1,18.41,104
2021,11,28,12,15,51,9,18.963381,47.386940,105.2,18.41,104
2021,11,28,12,15,51,9,18.963358,47.386940,105.2,18.41,104
2021,11,28,12,15,51,9,18.963333,47.386936,105.3,18.41,104
2021,11,28,12,15,51,9,18.963310,47.386936,105.3,18.41,104
2021,11,28,12,15,51,9,18.963285,47.386932,105.4,18.41,104
2021,11,28,12,15,52,9,18.963263,47.386932,105.4,18.41,104
2021,11,28,12,15,52,9,18.963238,47.386929,105.5,18.41,104
2021,11,28,12,15,52,9,18.963213,47.386929,105.5,18.41,97
2021,11,28,12,15,52,9,18.963190,47.386925,105.6,18.41,104
2021,11,28,12,15,52,9,18.963165,47.386925,105.6,18.41,104
2021,11,28,12,15,52,9,18.963142,47.386925,105.7,18.41,104
2021,11,28,12,15,52,9,18.963116,47.386921,105.7,18.41,104
2021,11,28,12,15,52,9,18.963093,47.386917,105.8,18.41,104
2021,11,28,12,15,52,9,18.963070,47.386917,105.9,18.41,104
2021,11,28,12,15,52,9,18.963045,47.386913,105.9,18.41,104
2021,11,28,12,15,53,9,18.963022,47.386913,106.0,18.41,104
2021,11,28,12,15,53,9,18.962997,47.386913,106.0,18.41,104
2021,11,28,12,15,53,9,18.962973,47.386909,106.1,18.41,104
2021,11,28,12,15,53,9,18.962950,47.386909,106.1,18.41,104
2021,11,28,12,15,53,9,18.962925,47.386906,106.2,18.41,104
2021,11,28,12,15,53,9,18.962902,47.386906,106.2,18.41,104
2021,11,28,12,15,53,9,18.962877,47.386902,106.3,18.41,104
2021,11,28,12,15,53,9,18.962852,47.386902,106.3,18.41,104
2021,11,28,12,15,53,9,18.962828,47.386898,106.4,18.41,104
2021,11,28,12,15,53,9,18.962805,47.386898,106.4,18.41,104
2021,11,28,12,15,54,9,18.962780,47.386894,106.5,18.41,104
2021,11,28,12,15,54,9,18.962757,47.386890,106.5,18.41,104
2021,11,28,12,15,54,9,18.962732,47.386890,106.6,18.41,104
2021,11,28,12,15,54,9,18.962708,47.386887,106.7,18.41,104
2021,11,28,12,15,54,9,18.962683,47.386887,106.7,18.41,104
2021,11,28,12,15,54,9,18.962660,47.386883,106.8,18.41,104
2021,11,28,12,15,54,9,18.962635,47.386883,106.8,18.41,104
2021,11,28,12,15,54,9,18.962612,47.386879,106.9,18.41,104
2021,11,28,12,15,54,9,18.962589,47.386875,106.9,18.41,104
2021,11,28,12,15,54,9,18.962563,47.386875,107.0,18.41,104
2021,11,28,12,15,55,9,18.962540,47.386875,107.1,18.41,104
2021,11,28,12,15,55,9,18.962515,47.386871,107.1,18.41,104
2021,11,28,12,15,55,9,18.962492,47.386868,107.2,18.41,104
2021,11,28,12,15,55,9,18.962469,47.386868,107.2,18.41,104
2021,11,28,12,15,55,9,18.962444,47.386864,107.3,18.41,104
2021,11,28,12,15,55,9,18.962420,47.386860,107.3,18.41,104
