Year,Month,Day,Hour,Minute,Second,nSAT,Lon,Lat,Alt1,Alt2,hAcc,vAcc,speed,speedAcc,PDOP
2021,10,17,15,31,18,9,204141230,477510690,146391.91,108111.93,4039,5952,365,729,187
2021,10,17,15,31,19,9,204141200,477510690,146287.91,108007.93,4067,5965,474,751,187
2021,10,17,15,31,19,9,204141170,477510690,146339.91,108059.93,4092,5977,693,755,187
2021,10,17,15,31,19,9,204141170,477510720,146203.91,107923.93,4118,5989,549,785,187
2021,10,17,15,31,19,9,204141180,477510720,146267.91,107987.93,4140,5999,295,732,187
2021,10,17,15,31,19,9,204141180,477510690,146339.91,108059.93,4146,5996,388,606,187
2021,10,17,15,31,20,9,204141180,477510690,146317.91,108037.93,4156,5997,349,577,187
2021,10,17,15,31,20,9,204141180,477510690,146158.91,107878.93,4174,6004,219,622,187
2021,10,17,15,31,20,9,204141180,477510690,146314.91,108034.93,4192,6011,262,666,187
2021,10,17,15,31,20,9,204141180,477510690,146313.91,108033.93,4212,6019,228,612,187
2021,10,17,15,31,20,9,204141180,477510690,146383.91,108103.93,4234,6031,155,686,187
2021,10,17,15,31,21,9,204141170,477510690,146393.91,108113.93,4257,6043,187,593,187
2021,10,17,15,31,21,9,204141170,477510660,146583.91,108303.93,4275,6051,374,578,187
2021,10,17,15,31,21,9,204141150,477510690,146658.91,108378.93,4292,6056,296,673,187
2021,10,17,15,31,21,9,204141150,477510690,146619.91,108339.93,4305,6060,175,660,187
2021,10,17,15,31,21,9,204141170,477510690,146559.91,108279.93,4321,6068,98,620,187
2021,10,17,15,31,22,9,204141170,477510690,146388.91,108108.93,4336,6075,31,746,187
2021,10,17,15,31,22,9,204141170,477510690,146288.91,108008.93,4347,6080,176,618,187
2021,10,17,15,31,22,9,204141170,477510690,146259.91,107979.93,4356,6087,43,751,187
2021,10,17,15,31,22,9,204141170,477510690,146217.91,107937.93,4365,6092,101,547,187
2021,10,17,15,31,22,9,204141170,477510660,146169.91,107889.93,4375,6098,51,638,187
2021,10,17,15,31,23,9,204141170,477510690,146308.91,108028.93,4384,6103,49,645,187
2021,10,17,15,31,23,9,204141170,477510660,146337.91,108057.93,4393,6110,170,644,187
2021,10,17,15,31,23,9,204141170,477510660,146418.91,108138.93,4402,6117,268,698,187
2021,10,17,15,31,23,9,204141170,477510660,146344.91,108064.93,4410,6124,279,668,187
2021,10,17,15,31,23,9,204141170,477510660,146257.91,107977.93,4413,6130,139,565,187
2021,10,17,15,31,24,9,204141170,477510660,146212.91,107933.93,4416,6135,49,608,187
2021,10,17,15,31,24,9,204141170,477510660,146123.91,107843.93,4404,6140,75,540,187
2021,10,17,15,31,24,9,204141150,477510660,146009.91,107729.93,4402,6146,198,548,187
2021,10,17,15,31,24,9,204141150,477510660,145895.91,107615.93,4401,6152,250,546,187
2021,10,17,15,31,24,9,204141120,477510620,146031.91,107751.93,4400,6156,318,565,187
2021,10,17,15,31,25,9,204141120,477510620,146040.91,107760.93,4400,6164,187,548,187
2021,10,17,15,31,25,9,204141100,477510620,146010.91,107730.93,4403,6171,300,616,187
2021,10,17,15,31,25,9,204141090,477510620,146112.91,107833.93,4410,6181,438,612,187
2021,10,17,15,31,25,9,204141060,477510590,146152.91,107872.93,4417,6190,661,571,187
2021,10,17,15,31,25,9,204141060,477510590,146173.91,107893.93,4410,6196,733,550,187
2021,10,17,15,31,26,9,204141020,477510590,145945.91,107665.93,4407,6203,816,550,187
2021,10,17,15,31,26,9,204140990,477510590,145917.91,107637.93,4406,6220,882,552,187
2021,10,17,15,31,26,9,204140980,477510590,146014.91,107735.93,4400,6236,946,548,187
2021,10,17,15,31,26,9,204140940,477510590,146043.91,107763.93,4392,6251,997,548,187
2021,10,17,15,31,26,9,204140910,477510590,146116.91,107836.93,4384,6267,1144,543,187
2021,10,17,15,31,27,9,204140880,477510590,146160.91,107880.93,4390,6286,1186,568,187
2021,10,17,15,31,27,9,204140850,477510560,146240.91,107960.93,4399,6307,1402,584,187
2021,10,17,15,31,27,9,204140820,477510560,146178.91,107898.93,4407,6324,1412,594,187
2021,10,17,15,31,27,9,204140750,477510560,146013.91,107733.93,4404,6340,1663,571,187
2021,10,17,15,31,27,9,204140700,477510530,146027.91,107747.93,4404,6357,1795,561,187
2021,10,17,15,31,28,9,204140660,477510530,146024.91,107744.93,4405,6374,1813,558,187
2021,10,17,15,31,28,9,204140590,477510530,146038.91,107758.93,4406,6393,1965,555,187
2021,10,17,15,31,28,9,204140540,477510530,145986.91,107706.93,4401,6411,1833,543,187
2021,10,17,15,31,28,9,204140480,477510530,145681.91,107401.93,4393,6409,1887,544,187
2021,10,17,15,31,28,9,204140430,477510500,145633.91,107353.93,4389,6414,1897,548,187
2021,10,17,15,31,29,9,204140350,477510500,145771.91,107491.93,4382,6416,2186,546,187
2021,10,17,15,31,29,9,204140290,477510460,145922.91,107642.93,4376,6420,2392,550,187
2021,10,17,15,31,29,9,204140210,477510460,146015.91,107735.93,4385,6433,2491,646,187
2021,10,17,15,31,29,9,204140140,477510460,146024.91,107744.93,4400,6456,2524,719,187
2021,10,17,15,31,29,9,204140060,477510430,146178.91,107898.93,4421,6482,2596,771,187
2021,10,17,15,31,30,9,204139980,477510400,146218.91,107938.93,4433,6506,2813,790,187
2021,10,17,15,31,30,9,204139890,477510370,146463.91,108183.93,4443,6528,3129,787,187
2021,10,17,15,31,30,9,204139760,477510340,146419.91,108139.93,4449,6549,3524,759,187
2021,10,17,15,31,30,9,204139620,477510340,146353.91,108073.93,4442,6569,4128,662,187
2021,10,17,15,31,30,9,204139490,477510300,146531.91,108251.93,4442,6589,4454,687,187
2021,10,17,15,31,31,9,204139340,477510270,146600.91,108319.93,4439,6611,4797,638,187
2021,10,17,15,31,31,9,204139200,477510240,146635.91,108355.93,4438,6633,5097,631,187
2021,10,17,15,31,31,9,204139060,477510210,146631.91,108351.93,4441,6656,5271,643,187
2021,10,17,15,31,31,9,204138910,477510210,146638.91,108358.93,4445,6679,5332,647,187
2021,10,17,15,31,31,9,204138770,477510180,146900.91,108620.93,4446,6684,5571,638,187
2021,10,17,15,31,32,9,204138610,477510140,147132.91,108852.93,4449,6693,5669,677,187
2021,10,17,15,31,32,9,204138460,477510110,147077.91,108797.93,4453,6705,5658,690,187
2021,10,17,15,31,32,9,204138320,477510110,146851.91,108571.93,4457,6716,5693,690,187
2021,10,17,15,31,32,9,204138140,477510080,146913.91,108633.93,4461,6731,5980,698,187
2021,10,17,15,31,32,9,204137970,477510050,146989.91,108709.93,4461,6741,6143,692,187
2021,10,17,15,31,33,9,204137760,477509980,147116.91,108836.93,4461,6750,6521,689,187
2021,10,17,15,31,33,9,204137570,477509950,147054.91,108774.93,4461,6759,6826,684,187
2021,10,17,15,31,33,9,204137340,477509890,146872.91,108592.93,4447,6757,7348,588,187
2021,10,17,15,31,33,9,204137140,477509860,146948.91,108668.93,4445,6760,7519,603,187
2021,10,17,15,31,33,9,204136930,477509820,146890.91,108610.93,4443,6767,7668,645,187
2021,10,17,15,31,34,9,204136700,477509760,146978.91,108698.93,4441,6774,7904,662,187
2021,10,17,15,31,34,9,204136500,477509730,147077.91,108797.93,4436,6788,8039,661,187
2021,10,17,15,31,34,9,204136290,477509660,147416.91,109136.93,4434,6804,8150,659,187
2021,10,17,15,31,34,9,204136080,477509600,147590.89,109310.93,4430,6823,8294,659,187
2021,10,17,15,31,34,9,204135840,477509540,147820.89,109540.93,4425,6838,8654,647,187
2021,10,17,15,31,35,9,204135600,477509470,147976.89,109696.93,4420,6852,8974,641,187
2021,10,17,15,31,35,9,204135330,477509440,148025.89,109745.93,4407,6866,9592.99,534,187
2021,10,17,15,31,35,9,204135060,477509380,148079.89,109798.93,4398,6880,10052.99,524,187
2021,10,17,15,31,35,9,204134800,477509310,148054.89,109773.93,4391,6896,9944.99,546,187
2021,10,17,15,31,35,9,204134530,477509280,148286.89,110006.93,4384,6909,10226.99,547,187
2021,10,17,15,31,36,9,204134260,477509220,148401.89,110121.93,4379,6924,10539.99,558,187
2021,10,17,15,31,36,9,204133970,477509150,148581.89,110300.93,4368,6934,10854.99,536,187
2021,10,17,15,31,36,9,204133700,477509090,148732.89,110452.93,4357,6942,10839.99,529,187
2021,10,17,15,31,36,9,204133410,477509060,148742.89,110461.93,4347,6928,11029.99,539,187
2021,10,17,15,31,36,9,204133100,477508960,148290.89,110009.93,4337,6917,11298.99,526,187
2021,10,17,15,31,37,9,204132780,477508900,148360.89,110080.93,4330,6931,11580.99,522,187
2021,10,17,15,31,37,9,204132480,477508830,148508.89,110228.93,4323,6944,11855.99,518,187
2021,10,17,15,31,37,9,204132160,477508770,148585.89,110304.93,4318,6955,12063.99,530,187
2021,10,17,15,31,37,9,204131840,477508700,148685.89,110405.93,4311,6944,12375.99,534,187
2021,10,17,15,31,37,9,204131500,477508640,148762.89,110481.93,4307,6959,12718.99,537,187
2021,10,17,15,31,38,9,204131170,477508580,148879.89,110598.92,4304,6976,12855.99,542,187
2021,10,17,15,31,38,9,204130830,477508480,149029.89,110748.92,4300,6987,13091.99,537,187
2021,10,17,15,31,38,9,204130480,477508420,148991.89,110710.92,4297,6997,13308.99,538,187
2021,10,17,15,31,38,9,204130130,477508350,148977.89,110696.92,4290,6978,13459.99,531,187
2021,10,17,15,31,38,9,204129780,477508290,149281.89,111000.92,4285,6962,13655.99,539,187
2021,10,17,15,31,39,9,204129410,477508190,149469.89,111188.92,4280,6949,13899.99,543,187
2021,10,17,15,31,39,9,204129020,477508100,149590.89,111309.92,4275,6938,14193.99,544,187
2021,10,17,15,31,39,9,204128640,477508030,149543.89,111262.92,4270,6928,14396.99,544,187
2021,10,17,15,31,39,9,204128270,477507970,149557.89,111276.92,4266,6916,14529.99,544,187
2021,10,17,15,31,39,9,204127890,477507870,149548.89,111267.92,4262,6902,14682.99,541,187
2021,10,17,15,31,40,9,204127500,477507810,149721.89,111440.92,4259,6889,14826.99,534,187
2021,10,17,15,31,40,9,204127100,477507740,149808.89,111527.92,4258,6882,15157.99,537,187
2021,10,17,15,31,40,9,204126700,477507650,149907.89,111625.92,4257,6877,15407.99,544,187
2021,10,17,15,31,40,9,204126300,477507550,149971.89,111690.92,4264,6880,15447.99,639,187
2021,10,17,15,31,40,9,204125900,477507490,150168.89,111887.92,4270,6881,15470.99,677,187
2021,10,17,15,31,41,9,204125520,477507420,150211.89,111930.92,4280,6884,15361.99,705,187
2021,10,17,15,31,41,9,204125120,477507330,150335.89,112054.92,4292,6892,15546.99,732,187
2021,10,17,15,31,41,9,204124690,477507230,150747.89,112465.92,4301,6895,15920.99,725,187
2021,10,17,15,31,41,9,204124270,477507140,150947.89,112666.92,4311,6899,16117.99,733,187
2021,10,17,15,31,41,9,204123820,477507040,151039.89,112758.92,4319,6900,16485.99,723,187
2021,10,17,15,31,42,9,204123390,477506980,151325.89,113043.92,4327,6903,16679.99,723,187
2021,10,17,15,31,42,9,204122960,477506880,151501.89,113219.92,4338,6911,16728.99,746,187
2021,10,17,15,31,42,9,204122530,477506780,151638.89,113356.92,4347,6917,16760.99,739,187
2021,10,17,15,31,42,9,204122080,477506720,151697.89,113415.92,4352,6919,17012.99,707,187
2021,10,17,15,31,42,9,204121630,477506620,151839.89,113557.92,4358,6920,17067.99,698,187
2021,10,17,15,31,43,9,204121170,477506530,151620.89,113339.92,4347,6904,17278.99,584,187
2021,10,17,15,31,43,9,204120690,477506430,151686.89,113405.92,4343,6896,17653.99,561,187
2021,10,17,15,31,43,9,204120220,477506340,151547.89,113265.92,4339,6888,17737.99,548,187
2021,10,17,15,31,43,9,204119740,477506240,151454.89,113172.92,4337,6884,17950.99,546,187
2021,10,17,15,31,43,9,204119260,477506140,151391.89,113109.92,4335,6884,18205.99,552,187
2021,10,17,15,31,44,9,204118770,477506050,151305.89,113023.92,4331,6881,18383.99,546,187
2021,10,17,15,31,44,9,204118290,477505950,151249.89,112967.92,4328,6885,18512.99,544,187
2021,10,17,15,31,44,9,204117810,477505890,151448.89,113166.92,4329,6888,18602.99,628,187
2021,10,17,15,31,44,9,204117330,477505790,151586.89,113305.92,4330,6886,18741.99,662,187
2021,10,17,15,31,44,9,204116830,477505700,151700.89,113418.92,4333,6887,18923.99,682,187
2021,10,17,15,31,45,9,204116340,477505600,151701.89,113419.92,4338,6890,19047.99,699,187
2021,10,17,15,31,45,9,204115840,477505470,151851.89,113569.92,4342,6893,19318.99,704,187
2021,10,17,15,31,45,9,204115330,477505380,152029.89,113747.92,4346,6894,19454.99,707,187
2021,10,17,15,31,45,9,204114830,477505280,152214.89,113932.92,4351,6896,19513.99,709,187
2021,10,17,15,31,45,9,204114340,477505180,152390.89,114108.92,4354,6897,19490.99,705,187
2021,10,17,15,31,46,9,204113820,477505090,152544.89,114262.92,4360,6901,19584.99,710,187
2021,10,17,15,31,46,9,204113280,477504960,152496.89,114214.92,4363,6905,20018.99,719,187
2021,10,17,15,31,46,9,204112750,477504860,152607.89,114325.92,4365,6907,20262.99,717,187
2021,10,17,15,31,46,9,204112210,477504770,152647.89,114365.92,4362,6900,20471.99,667,187
2021,10,17,15,31,46,9,204111630,477504670,152661.89,114379.92,4358,6891,20922.99,635,187
2021,10,17,15,31,47,9,204111070,477504540,152453.89,114170.92,4354,6882,21074.99,621,187
2021,10,17,15,31,47,9,204110510,477504450,152550.89,114268.92,4348,6872,21167.99,607,187
2021,10,17,15,31,47,9,204109950,477504320,152662.89,114380.92,4336,6858,21399.99,503,187
2021,10,17,15,31,47,9,204109390,477504220,152812.89,114529.92,4327,6844,21438.99,488,187
2021,10,17,15,31,47,9,204108850,477504100,152931.89,114648.92,4316,6830,21546.99,483,187
2021,10,17,15,31,48,9,204108270,477504000,152831.89,114548.92,4295,6793,21683.99,423,187
2021,10,17,15,31,48,9,204107710,477503870,152936.89,114654.92,4279,6765,21848.99,412,187
2021,10,17,15,31,48,9,204107140,477503780,153007.89,114725.92,4262,6738,22002.99,407,187
